time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1183015656000,1183.1945522460935,1.0,0.3753525614738464,3.9868392944335938,6.385000228881836,29.351301193237305,117.7379913330078,141.1634298814321,-3.2847935,55.9119724
1184015686000,1184.19458203125,1.0,0.3679570257663727,4.01340389251709,6.443999767303467,29.435529708862305,118.7719268798828,142.5876590238224,-3.2843872,55.9118419
1185015651000,1185.194547119141,1.0,0.3713701963424682,4.143665313720703,6.464000225067139,29.255016326904297,120.60880279541016,143.06357935768926,-3.2839839,55.9117058
1186015699000,1186.194594970703,1.0,0.3619947731494903,4.048665046691895,6.453999996185303,28.879663467407227,122.60016632080078,145.3142222425272,-3.2835937,55.9115611
1187015711000,1187.1946069335938,1.0,0.3683770596981048,3.919088840484619,6.435999870300293,28.454044342041016,122.949462890625,147.28244758351988,-3.2832149,55.9114132
1188015727000,1188.194623046875,1.0,0.3620853126049042,3.797003746032715,6.442999839782715,28.084083557128903,124.66986846923828,149.11766441246243,-3.282846,55.9112641
1189015731000,1189.194626953125,1.0,0.3690044283866882,3.72910213470459,6.51800012588501,27.9986572265625,125.78404235839844,150.38068477302045,-3.2824892,55.9111117
1190015763000,1190.1946589355468,1.0,0.359959989786148,3.7714362144470215,6.552000045776367,27.624086380004883,126.81311798095705,150.59914432199798,-3.2821392,55.9109581
1191015773000,1191.1946691894532,1.0,0.3457265794277191,3.82275390625,6.570000171661377,26.73204803466797,127.83348846435548,152.78301474534837,-3.2817986,55.9108046
1192015784000,1192.1946801757813,1.0,0.3416109681129455,3.9783413410186768,6.556000232696533,25.12747573852539,128.84820556640625,153.91089563758456,-3.2814771,55.9106544
1193015864000,1193.1947600097656,1.0,0.3063258826732635,3.915923595428467,6.485000133514404,22.70477294921875,130.74301147460938,156.1339554848976,-3.2811936,55.9105098
1194015811000,1194.19470703125,1.0,0.2764760851860046,3.785247564315796,6.328000068664551,20.407102584838867,132.7601318359375,159.7010514505954,-3.2809502,55.910379
1195015847000,1195.1947431640624,1.0,0.262340098619461,3.637443780899048,6.14900016784668,18.522768020629883,134.7832489013672,160.24790496316828,-3.2807408,55.9102587
1196015966000,1196.1948618164065,1.0,0.2509476840496063,3.6050949096679688,5.980000019073486,16.801790237426758,134.98330688476562,163.03228808488723,-3.2805604,55.9101468
1197015848000,1197.194744140625,1.0,0.2331695705652237,3.5703930854797363,5.755000114440918,15.913484573364258,134.07516479492188,163.76890109743005,-3.2803932,55.91005
1198015879000,1198.1947751464843,1.0,0.228427305817604,3.3890326023101807,5.540999889373779,16.511442184448242,135.86474609375,164.28810238186452,-3.2802287,55.9099598
1199015890000,1199.1947861328124,1.0,0.2303394228219986,3.379687786102295,5.3480000495910645,16.52133560180664,135.99029541015625,165.56771264169947,-3.2800556,55.9098581
1200015917000,1200.1948129882812,1.0,0.2341118454933166,3.3404688835144043,5.215000152587891,16.86618423461914,136.92562866210938,167.54476131321258,-3.2798758,55.9097536
1201015907000,1201.1948029785156,1.0,0.2409934550523758,3.461693048477173,5.196000099182129,16.968835830688477,136.99473571777344,167.7252841868168,-3.2796958,55.9096447
1202015920000,1202.1948161621094,1.0,0.2361846268177032,3.542952060699463,5.084000110626221,16.870080947875977,137.922607421875,168.4085047935452,-3.2795178,55.9095332
1203015990000,1203.194885986328,1.0,0.2360395938158035,3.791513442993164,5.09499979019165,16.724281311035156,139.83999633789062,169.4046428894501,-3.2793437,55.9094183
1204015951000,1204.1948469238282,1.0,0.2351040542125702,3.822556972503662,5.103000164031982,16.551040649414062,140.91110229492188,170.1773332592914,-3.2791777,55.9092997
1205015990000,1205.194885986328,1.0,0.2329489737749099,4.069748401641846,5.103000164031982,16.702604293823242,140.9957275390625,170.86157699779255,-3.2790157,55.9091823
1206016173000,1206.1950690917968,1.0,0.227333590388298,4.020373344421387,5.080999851226807,16.993623733520508,141.00411987304688,171.5638416406,-3.2788508,55.9090626
1207016067000,1207.194962890625,1.0,0.2362629473209381,4.096927642822266,5.074999809265137,17.09059715270996,141.92417907714844,172.20891975703935,-3.2786835,55.9089394
1208016105000,1208.1950009765626,1.0,0.2433435022830963,4.083545684814453,5.065999984741211,16.93360710144043,142.91278076171875,172.91538855488588,-3.2785196,55.9088145
1209016069000,1209.1949650878903,1.0,0.2404569238424301,3.88140606880188,5.078999996185303,16.774330139160156,143.9132080078125,173.67897313849633,-3.2783601,55.9086865
1210016073000,1210.1949689941407,1.0,0.2354819625616073,4.085495471954346,5.061999797821045,16.515188217163086,145.835205078125,173.88350716578634,-3.2782074,55.9085591
1211016072000,1211.1949677734376,1.0,0.2379747927188873,4.140987396240234,5.070000171661377,16.650827407836914,145.99049377441406,174.06089236952977,-3.2780646,55.9084334
1212016184000,1212.195080078125,1.0,0.2341246902942657,3.978687047958374,5.085000038146973,16.89540672302246,146.0047607421875,174.6751320688514,-3.2779207,55.9083079
1213016125000,1213.1950212402344,1.0,0.2313412129878997,4.051182270050049,5.093999862670898,16.782941818237305,146.92095947265625,175.1434271544828,-3.2777757,55.9081803
1214016163000,1214.195059082031,1.0,0.2318582683801651,4.047292232513428,5.0920000076293945,16.590818405151367,147.91250610351562,175.6221325364155,-3.2776344,55.9080573
1215016104000,1215.1950002441406,1.0,0.2324066460132599,4.087440013885498,5.098999977111816,16.485719680786133,148.91387939453125,175.9295151427753,-3.2774969,55.9079341
1216016095000,1216.194990966797,1.0,0.2386113256216049,3.993289232254028,5.104000091552734,16.463638305664062,149.91473388671875,176.2846805858724,-3.2773633,55.9078078
1217016132000,1217.195028076172,1.0,0.2459657043218612,3.8976480960845943,5.136000156402588,16.665189743041992,149.99769592285156,176.54223679095765,-3.2772372,55.9076784
1218016143000,1218.1950390625,1.0,0.2693074941635132,3.722318410873413,5.209000110626221,17.330646514892578,150.9236297607422,176.76604497134517,-3.2771065,55.9075435
1219016148000,1219.1950439453126,1.0,0.2672964632511139,3.804037809371948,5.267000198364258,17.92525291442871,151.00540161132812,176.82784050459708,-3.2769729,55.9074015
